# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/23 18:00:19
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.1923    3.9000  3.019e+01
  0.1923    3.9500  5.382e+01
  0.1923    4.0000  5.942e+01
  0.1923    4.0500  3.699e+01
  0.1923    4.1000  2.078e+01
  0.1923    4.1500  1.269e+01
  0.1923    4.2000  8.497e+00
  0.1923    4.2500  6.110e+00
  0.1923    4.3000  4.655e+00
  0.1923    4.3500  3.703e+00
  0.1923    4.4000  3.046e+00
  0.1923    4.4500  2.582e+00
  0.1923    4.5000  2.237e+00
  0.1923    4.5500  1.973e+00
  0.1923    4.6000  1.765e+00
  0.1923    4.6500  1.602e+00
  0.1923    4.7000  1.467e+00
  0.1923    4.7500  1.361e+00
  0.1923    4.8000  1.274e+00
  0.1923    4.8500  1.192e+00
  0.1923    4.9000  1.127e+00
  0.1923    4.9500  1.070e+00
  0.1923    5.0000  0.000e+00

  0.2308    0.0000  6.352e-01
  0.2308    0.0500  6.323e-01
  0.2308    0.1000  6.243e-01
  0.2308    0.1500  6.210e-01
  0.2308    0.2000  6.224e-01
  0.2308    0.2500  6.352e-01
  0.2308    0.3000  6.360e-01
  0.2308    0.3500  6.277e-01
  0.2308    0.4000  6.355e-01
  0.2308    0.4500  6.499e-01
  0.2308    0.5000  6.625e-01
  0.2308    0.5500  6.799e-01
  0.2308    0.6000  6.848e-01
  0.2308    0.6500  6.828e-01
  0.2308    0.7000  6.803e-01
  0.2308    0.7500  6.716e-01
  0.2308    0.8000  6.694e-01
  0.2308    0.8500  6.901e-01
  0.2308    0.9000  7.153e-01
  0.2308    0.9500  7.480e-01
  0.2308    1.0000  7.788e-01
  0.2308    1.0500  8.167e-01
  0.2308    1.1000  8.570e-01
  0.2308    1.1500  9.103e-01
  0.2308    1.2000  9.732e-01
  0.2308    1.2500  1.049e+00
  0.2308    1.3000  1.153e+00
  0.2308    1.3500  1.277e+00
  0.2308    1.4000  1.419e+00
  0.2308    1.4500  1.621e+00
  0.2308    1.5000  1.882e+00
  0.2308    1.5500  2.238e+00
  0.2308    1.6000  2.726e+00
  0.2308    1.6500  3.432e+00
  0.2308    1.7000  4.489e+00
  0.2308    1.7500  6.159e+00
  0.2308    1.8000  9.040e+00
  0.2308    1.8500  1.419e+01
  0.2308    1.9000  2.342e+01
  0.2308    1.9500  3.700e+01
  0.2308    2.0000  4.559e+01
  0.2308    2.0500  4.237e+01
  0.2308    2.1000  3.075e+01
  0.2308    2.1500  2.024e+01
  0.2308    2.2000  1.371e+01
  0.2308    2.2500  9.835e+00
  0.2308    2.3000  7.416e+00
  0.2308    2.3500  5.837e+00
  0.2308    2.4000  4.778e+00
  0.2308    2.4500  4.028e+00
  0.2308    2.5000  3.462e+00
  0.2308    2.5500  3.015e+00
  0.2308    2.6000  2.664e+00
  0.2308    2.6500  2.431e+00
  0.2308    2.7000  2.261e+00
  0.2308    2.7500  2.109e+00
  0.2308    2.8000  1.982e+00
  0.2308    2.8500  1.868e+00
  0.2308    2.9000  1.800e+00
  0.2308    2.9500  1.758e+00
  0.2308    3.0000  1.657e+00
  0.2308    3.0500  1.466e+00
  0.2308    3.1000  1.341e+00
  0.2308    3.1500  1.300e+00
  0.2308    3.2000  1.265e+00
  0.2308    3.2500  1.251e+00
  0.2308    3.3000  1.252e+00
  0.2308    3.3500  1.291e+00
  0.2308    3.4000  1.461e+00
  0.2308    3.4500  1.696e+00
  0.2308    3.5000  1.992e+00
  0.2308    3.5500  2.398e+00
  0.2308    3.6000  2.970e+00
  0.2308    3.6500  3.824e+00
  0.2308    3.7000  5.128e+00
  0.2308    3.7500  7.458e+00
  0.2308    3.8000  1.178e+01
  0.2308    3.8500  2.044e+01
  0.2308    3.9000  3.827e+01
  0.2308    3.9500  6.059e+01
  0.2308    4.0000  5.180e+01
  0.2308    4.0500  2.966e+01
  0.2308    4.1000  1.705e+01
  0.2308    4.1500  1.079e+01
  0.2308    4.2000  7.439e+00
  0.2308    4.2500  5.473e+00
  0.2308    4.3000  4.243e+00
  0.2308    4.3500  3.414e+00
  0.2308    4.4000  2.841e+00
  0.2308    4.4500  2.430e+00
  0.2308    4.5000  2.117e+00
  0.2308    4.5500  1.880e+00
  0.2308    4.6000  1.691e+00
  0.2308    4.6500  1.536e+00
  0.2308    4.7000  1.421e+00
  0.2308    4.7500  1.322e+00
  0.2308    4.8000  1.235e+00
  0.2308    4.8500  1.169e+00
  0.2308    4.9000  1.103e+00
  0.2308    4.9500  1.048e+00
  0.2308    5.0000  0.000e+00

  0.2692    0.0000  6.122e-01
  0.2692    0.0500  6.130e-01
  0.2692    0.1000  6.065e-01
  0.2692    0.1500  6.002e-01
  0.2692    0.2000  6.070e-01
  0.2692    0.2500  6.090e-01
  0.2692    0.3000  6.130e-01
  0.2692    0.3500  6.054e-01
  0.2692    0.4000  6.051e-01
  0.2692    0.4500  6.142e-01
  0.2692    0.5000  6.249e-01
  0.2692    0.5500  6.344e-01
  0.2692    0.6000  6.348e-01
  0.2692    0.6500  6.340e-01
  0.2692    0.7000  6.397e-01
  0.2692    0.7500  6.392e-01
  0.2692    0.8000  6.404e-01
  0.2692    0.8500  6.541e-01
  0.2692    0.9000  6.522e-01
  0.2692    0.9500  6.619e-01
  0.2692    1.0000  6.686e-01
  0.2692    1.0500  6.817e-01
  0.2692    1.1000  7.080e-01
  0.2692    1.1500  7.365e-01
  0.2692    1.2000  7.498e-01
  0.2692    1.2500  7.792e-01
  0.2692    1.3000  8.019e-01
  0.2692    1.3500  8.317e-01
  0.2692    1.4000  8.754e-01
  0.2692    1.4500  9.232e-01
  0.2692    1.5000  1.011e+00
  0.2692    1.5500  1.100e+00
  0.2692    1.6000  1.200e+00
  0.2692    1.6500  1.321e+00
  0.2692    1.7000  1.473e+00
  0.2692    1.7500  1.680e+00
  0.2692    1.8000  1.976e+00
  0.2692    1.8500  2.368e+00
  0.2692    1.9000  2.925e+00
  0.2692    1.9500  3.742e+00
  0.2692    2.0000  4.972e+00
  0.2692    2.0500  6.923e+00
  0.2692    2.1000  1.028e+01
  0.2692    2.1500  1.637e+01
  0.2692    2.2000  2.714e+01
  0.2692    2.2500  4.051e+01
  0.2692    2.3000  4.615e+01
  0.2692    2.3500  4.046e+01
  0.2692    2.4000  2.791e+01
