# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/24 18:12:12
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.0588    0.2500  8.479e+00
  0.0588    0.3000  8.557e+00
  0.0588    0.3500  8.633e+00
  0.0588    0.4000  8.723e+00
  0.0588    0.4500  8.840e+00
  0.0588    0.5000  8.952e+00
  0.0588    0.5500  9.108e+00
  0.0588    0.6000  9.265e+00
  0.0588    0.6500  9.393e+00
  0.0588    0.7000  9.563e+00
  0.0588    0.7500  9.783e+00
  0.0588    0.8000  1.002e+01
  0.0588    0.8500  1.029e+01
  0.0588    0.9000  1.061e+01
  0.0588    0.9500  1.094e+01
  0.0588    1.0000  1.135e+01
  0.0588    1.0500  1.179e+01
  0.0588    1.1000  1.230e+01
  0.0588    1.1500  1.286e+01
  0.0588    1.2000  1.354e+01
  0.0588    1.2500  1.428e+01
  0.0588    1.3000  1.515e+01
  0.0588    1.3500  1.619e+01
  0.0588    1.4000  1.746e+01
  0.0588    1.4500  1.911e+01
  0.0588    1.5000  2.144e+01
  0.0588    1.5500  2.510e+01
  0.0588    1.6000  3.394e+01
  0.0588    1.6500  7.735e+01
  0.0588    1.7000  1.177e+02
  0.0588    1.7500  4.945e+01
  0.0588    1.8000  5.050e+01
  0.0588    1.8500  6.621e+01
  0.0588    1.9000  8.208e+01
  0.0588    1.9500  9.897e+01
  0.0588    2.0000  7.936e+01
  0.0588    2.0500  7.066e+01
  0.0588    2.1000  1.031e+02
  0.0588    2.1500  1.831e+02
  0.0588    2.2000  1.201e+02
  0.0588    2.2500  7.063e+01
  0.0588    2.3000  4.615e+01
  0.0588    2.3500  3.355e+01
  0.0588    2.4000  2.631e+01
  0.0588    2.4500  2.174e+01
  0.0588    2.5000  1.919e+01
  0.0588    2.5500  1.729e+01
  0.0588    2.6000  1.583e+01
  0.0588    2.6500  1.474e+01
  0.0588    2.7000  1.391e+01
  0.0588    2.7500  1.314e+01
  0.0588    2.8000  1.280e+01
  0.0588    2.8500  1.273e+01
  0.0588    2.9000  1.305e+01
  0.0588    2.9500  1.404e+01
  0.0588    3.0000  1.682e+01
  0.0588    3.0500  2.171e+01
  0.0588    3.1000  3.016e+01
  0.0588    3.1500  4.757e+01
  0.0588    3.2000  8.796e+01
  0.0588    3.2500  1.445e+02
  0.0588    3.3000  1.208e+02
  0.0588    3.3500  6.536e+01
  0.0588    3.4000  3.803e+01
  0.0588    3.4500  2.588e+01
  0.0588    3.5000  1.916e+01
  0.0588    3.5500  1.540e+01
  0.0588    3.6000  1.284e+01
  0.0588    3.6500  1.100e+01
  0.0588    3.7000  9.668e+00
  0.0588    3.7500  8.561e+00
  0.0588    3.8000  7.644e+00
  0.0588    3.8500  6.941e+00
  0.0588    3.9000  6.381e+00
  0.0588    3.9500  5.917e+00
  0.0588    4.0000  5.520e+00
  0.0588    4.0500  5.173e+00
  0.0588    4.1000  4.866e+00
  0.0588    4.1500  4.563e+00
  0.0588    4.2000  4.317e+00
  0.0588    4.2500  4.094e+00
  0.0588    4.3000  3.890e+00
  0.0588    4.3500  3.731e+00
  0.0588    4.4000  3.570e+00
  0.0588    4.4500  3.415e+00
  0.0588    4.5000  3.290e+00
  0.0588    4.5500  3.159e+00
  0.0588    4.6000  3.065e+00
  0.0588    4.6500  2.969e+00
  0.0588    4.7000  2.858e+00
  0.0588    4.7500  2.768e+00
  0.0588    4.8000  2.679e+00
  0.0588    4.8500  2.568e+00
  0.0588    4.9000  2.494e+00
  0.0588    4.9500  2.427e+00
  0.0588    5.0000  0.000e+00

  0.0784    0.0000  8.305e+00
  0.0784    0.0500  8.297e+00
  0.0784    0.1000  8.302e+00
  0.0784    0.1500  8.336e+00
  0.0784    0.2000  8.367e+00
  0.0784    0.2500  8.430e+00
  0.0784    0.3000  8.497e+00
  0.0784    0.3500  8.578e+00
  0.0784    0.4000  8.671e+00
  0.0784    0.4500  8.779e+00
  0.0784    0.5000  8.897e+00
  0.0784    0.5500  9.048e+00
  0.0784    0.6000  9.197e+00
  0.0784    0.6500  9.332e+00
  0.0784    0.7000  9.489e+00
  0.0784    0.7500  9.707e+00
  0.0784    0.8000  9.935e+00
  0.0784    0.8500  1.020e+01
  0.0784    0.9000  1.049e+01
  0.0784    0.9500  1.084e+01
  0.0784    1.0000  1.122e+01
  0.0784    1.0500  1.167e+01
  0.0784    1.1000  1.214e+01
  0.0784    1.1500  1.271e+01
  0.0784    1.2000  1.336e+01
  0.0784    1.2500  1.410e+01
  0.0784    1.3000  1.494e+01
  0.0784    1.3500  1.596e+01
  0.0784    1.4000  1.717e+01
  0.0784    1.4500  1.881e+01
  0.0784    1.5000  2.104e+01
  0.0784    1.5500  2.457e+01
  0.0784    1.6000  3.253e+01
  0.0784    1.6500  7.052e+01
  0.0784    1.7000  1.247e+02
  0.0784    1.7500  4.951e+01
  0.0784    1.8000  4.710e+01
  0.0784    1.8500  6.183e+01
  0.0784    1.9000  7.882e+01
  0.0784    1.9500  1.018e+02
  0.0784    2.0000  8.275e+01
  0.0784    2.0500  7.105e+01
  0.0784    2.1000  1.059e+02
  0.0784    2.1500  1.813e+02
  0.0784    2.2000  1.160e+02
  0.0784    2.2500  6.942e+01
  0.0784    2.3000  4.565e+01
  0.0784    2.3500  3.326e+01
  0.0784    2.4000  2.615e+01
  0.0784    2.4500  2.171e+01
  0.0784    2.5000  1.920e+01
  0.0784    2.5500  1.729e+01
  0.0784    2.6000  1.586e+01
  0.0784    2.6500  1.476e+01
  0.0784    2.7000  1.394e+01
  0.0784    2.7500  1.323e+01
  0.0784    2.8000  1.287e+01
  0.0784    2.8500  1.285e+01
  0.0784    2.9000  1.320e+01
  0.0784    2.9500  1.429e+01
  0.0784    3.0000  1.728e+01
  0.0784    3.0500  2.246e+01
  0.0784    3.1000  3.142e+01
  0.0784    3.1500  4.988e+01
  0.0784    3.2000  9.080e+01
  0.0784    3.2500  1.409e+02
  0.0784    3.3000  1.180e+02
  0.0784    3.3500  6.477e+01
  0.0784    3.4000  3.827e+01
  0.0784    3.4500  2.597e+01
  0.0784    3.5000  1.925e+01
  0.0784    3.5500  1.542e+01
  0.0784    3.6000  1.282e+01
  0.0784    3.6500  1.099e+01
  0.0784    3.7000  9.624e+00
  0.0784    3.7500  8.529e+00
  0.0784    3.8000  7.632e+00
  0.0784    3.8500  6.917e+00
  0.0784    3.9000  6.352e+00
  0.0784    3.9500  5.895e+00
  0.0784    4.0000  5.496e+00
  0.0784    4.0500  5.149e+00
  0.0784    4.1000  4.853e+00
  0.0784    4.1500  4.545e+00
  0.0784    4.2000  4.291e+00
  0.0784    4.2500  4.078e+00
  0.0784    4.3000  3.886e+00
  0.0784    4.3500  3.717e+00
  0.0784    4.4000  3.554e+00
  0.0784    4.4500  3.408e+00
  0.0784    4.5000  3.266e+00
  0.0784    4.5500  3.162e+00
  0.0784    4.6000  3.048e+00
  0.0784    4.6500  2.950e+00
  0.0784    4.7000  2.856e+00
  0.0784    4.7500  2.758e+00
  0.0784    4.8000  2.663e+00
  0.0784    4.8500  2.571e+00
  0.0784    4.9000  2.487e+00
  0.0784    4.9500  2.431e+00
  0.0784    5.0000  0.000e+00

  0.0980    0.0000  8.246e+00
  0.0980    0.0500  8.226e+00
  0.0980    0.1000  8.239e+00
  0.0980    0.1500  8.256e+00
  0.0980    0.2000  8.302e+00
  0.0980    0.2500  8.368e+00
  0.0980    0.3000  8.427e+00
  0.0980    0.3500  8.511e+00
  0.0980    0.4000  8.599e+00
  0.0980    0.4500  8.702e+00
  0.0980    0.5000  8.821e+00
  0.0980    0.5500  8.975e+00
  0.0980    0.6000  9.124e+00
  0.0980    0.6500  9.252e+00
  0.0980    0.7000  9.408e+00
  0.0980    0.7500  9.608e+00
  0.0980    0.8000  9.841e+00
  0.0980    0.8500  1.009e+01
  0.0980    0.9000  1.038e+01
  0.0980    0.9500  1.070e+01
  0.0980    1.0000  1.108e+01
  0.0980    1.0500  1.150e+01
  0.0980    1.1000  1.199e+01
  0.0980    1.1500  1.254e+01
  0.0980    1.2000  1.316e+01
  0.0980    1.2500  1.387e+01
  0.0980    1.3000  1.470e+01
  0.0980    1.3500  1.567e+01
  0.0980    1.4000  1.688e+01
  0.0980    1.4500  1.842e+01
  0.0980    1.5000  2.061e+01
  0.0980    1.5500  2.389e+01
  0.0980    1.6000  3.084e+01
  0.0980    1.6500  6.292e+01
  0.0980    1.7000  1.317e+02
  0.0980    1.7500  5.010e+01
  0.0980    1.8000  4.320e+01
  0.0980    1.8500  5.639e+01
  0.0980    1.9000  7.381e+01
  0.0980    1.9500  1.012e+02
  0.0980    2.0000  9.146e+01
  0.0980    2.0500  7.101e+01
  0.0980    2.1000  1.098e+02
  0.0980    2.1500  1.777e+02
  0.0980    2.2000  1.113e+02
  0.0980    2.2500  6.800e+01
  0.0980    2.3000  4.504e+01
  0.0980    2.3500  3.293e+01
  0.0980    2.4000  2.591e+01
  0.0980    2.4500  2.165e+01
  0.0980    2.5000  1.918e+01
  0.0980    2.5500  1.733e+01
  0.0980    2.6000  1.588e+01
  0.0980    2.6500  1.478e+01
  0.0980    2.7000  1.404e+01
  0.0980    2.7500  1.334e+01
  0.0980    2.8000  1.301e+01
  0.0980    2.8500  1.300e+01
  0.0980    2.9000  1.341e+01
  0.0980    2.9500  1.463e+01
  0.0980    3.0000  1.791e+01
  0.0980    3.0500  2.348e+01
  0.0980    3.1000  3.332e+01
  0.0980    3.1500  5.319e+01
  0.0980    3.2000  9.408e+01
  0.0980    3.2500  1.349e+02
  0.0980    3.3000  1.147e+02
  0.0980    3.3500  6.444e+01
  0.0980    3.4000  3.855e+01
  0.0980    3.4500  2.607e+01
  0.0980    3.5000  1.935e+01
  0.0980    3.5500  1.543e+01
  0.0980    3.6000  1.281e+01
  0.0980    3.6500  1.095e+01
  0.0980    3.7000  9.594e+00
  0.0980    3.7500  8.496e+00
  0.0980    3.8000  7.594e+00
  0.0980    3.8500  6.894e+00
  0.0980    3.9000  6.325e+00
  0.0980    3.9500  5.851e+00
  0.0980    4.0000  5.475e+00
  0.0980    4.0500  5.127e+00
  0.0980    4.1000  4.818e+00
  0.0980    4.1500  4.521e+00
  0.0980    4.2000  4.283e+00
  0.0980    4.2500  4.053e+00
  0.0980    4.3000  3.861e+00
  0.0980    4.3500  3.697e+00
  0.0980    4.4000  3.537e+00
  0.0980    4.4500  3.387e+00
  0.0980    4.5000  3.257e+00
  0.0980    4.5500  3.141e+00
  0.0980    4.6000  3.044e+00
  0.0980    4.6500  2.935e+00
  0.0980    4.7000  2.843e+00
  0.0980    4.7500  2.747e+00
  0.0980    4.8000  2.652e+00
  0.0980    4.8500  2.560e+00
  0.0980    4.9000  2.480e+00
  0.0980    4.9500  2.425e+00
  0.0980    5.0000  0.000e+00

  0.1176    0.0000  8.157e+00
  0.1176    0.0500  8.154e+00
  0.1176    0.1000  8.156e+00
  0.1176    0.1500  8.186e+00
  0.1176    0.2000  8.224e+00
  0.1176    0.2500  8.283e+00
  0.1176    0.3000  8.359e+00
  0.1176    0.3500  8.429e+00
  0.1176    0.4000  8.520e+00
  0.1176    0.4500  8.610e+00
  0.1176    0.5000  8.744e+00
  0.1176    0.5500  8.878e+00
  0.1176    0.6000  9.033e+00
  0.1176    0.6500  9.156e+00
  0.1176    0.7000  9.309e+00
  0.1176    0.7500  9.510e+00
  0.1176    0.8000  9.729e+00
  0.1176    0.8500  9.970e+00
  0.1176    0.9000  1.025e+01
  0.1176    0.9500  1.057e+01
  0.1176    1.0000  1.092e+01
  0.1176    1.0500  1.134e+01
  0.1176    1.1000  1.182e+01
  0.1176    1.1500  1.236e+01
  0.1176    1.2000  1.296e+01
  0.1176    1.2500  1.365e+01
  0.1176    1.3000  1.441e+01
  0.1176    1.3500  1.537e+01
  0.1176    1.4000  1.652e+01
  0.1176    1.4500  1.804e+01
  0.1176    1.5000  2.008e+01
  0.1176    1.5500  2.313e+01
  0.1176    1.6000  2.910e+01
  0.1176    1.6500  5.628e+01
  0.1176    1.7000  1.369e+02
  0.1176    1.7500  5.357e+01
  0.1176    1.8000  4.051e+01
  0.1176    1.8500  5.044e+01
  0.1176    1.9000  6.698e+01
  0.1176    1.9500  9.880e+01
  0.1176    2.0000  1.030e+02
  0.1176    2.0500  7.203e+01
  0.1176    2.1000  1.158e+02
  0.1176    2.1500  1.719e+02
  0.1176    2.2000  1.068e+02
  0.1176    2.2500  6.639e+01
  0.1176    2.3000  4.439e+01
  0.1176    2.3500  3.257e+01
  0.1176    2.4000  2.565e+01
  0.1176    2.4500  2.159e+01
  0.1176    2.5000  1.919e+01
  0.1176    2.5500  1.734e+01
  0.1176    2.6000  1.591e+01
  0.1176    2.6500  1.483e+01
  0.1176    2.7000  1.410e+01
  0.1176    2.7500  1.352e+01
  0.1176    2.8000  1.314e+01
  0.1176    2.8500  1.317e+01
  0.1176    2.9000  1.365e+01
  0.1176    2.9500  1.524e+01
  0.1176    3.0000  1.877e+01
  0.1176    3.0500  2.491e+01
  0.1176    3.1000  3.593e+01
  0.1176    3.1500  5.785e+01
  0.1176    3.2000  9.690e+01
  0.1176    3.2500  1.264e+02
  0.1176    3.3000  1.114e+02
  0.1176    3.3500  6.479e+01
  0.1176    3.4000  3.892e+01
  0.1176    3.4500  2.619e+01
  0.1176    3.5000  1.943e+01
  0.1176    3.5500  1.543e+01
  0.1176    3.6000  1.278e+01
  0.1176    3.6500  1.092e+01
  0.1176    3.7000  9.553e+00
  0.1176    3.7500  8.461e+00
  0.1176    3.8000  7.554e+00
  0.1176    3.8500  6.845e+00
  0.1176    3.9000  6.287e+00
  0.1176    3.9500  5.828e+00
  0.1176    4.0000  5.433e+00
  0.1176    4.0500  5.094e+00
  0.1176    4.1000  4.784e+00
  0.1176    4.1500  4.507e+00
  0.1176    4.2000  4.251e+00
  0.1176    4.2500  4.036e+00
  0.1176    4.3000  3.836e+00
  0.1176    4.3500  3.669e+00
  0.1176    4.4000  3.523e+00
  0.1176    4.4500  3.369e+00
  0.1176    4.5000  3.241e+00
  0.1176    4.5500  3.123e+00
  0.1176    4.6000  3.027e+00
  0.1176    4.6500  2.923e+00
  0.1176    4.7000  2.825e+00
  0.1176    4.7500  2.734e+00
  0.1176    4.8000  2.648e+00
  0.1176    4.8500  2.546e+00
  0.1176    4.9000  2.472e+00
  0.1176    4.9500  2.412e+00
  0.1176    5.0000  0.000e+00

  0.1373    0.0000  8.069e+00
  0.1373    0.0500  8.061e+00
  0.1373    0.1000  8.075e+00
  0.1373    0.1500  8.099e+00
  0.1373    0.2000  8.147e+00
  0.1373    0.2500  8.199e+00
  0.1373    0.3000  8.262e+00
  0.1373    0.3500  8.339e+00
  0.1373    0.4000  8.429e+00
  0.1373    0.4500  8.519e+00
  0.1373    0.5000  8.646e+00
  0.1373    0.5500  8.774e+00
  0.1373    0.6000  8.912e+00
  0.1373    0.6500  9.054e+00
  0.1373    0.7000  9.203e+00
  0.1373    0.7500  9.398e+00
  0.1373    0.8000  9.617e+00
  0.1373    0.8500  9.840e+00
  0.1373    0.9000  1.011e+01
  0.1373    0.9500  1.042e+01
  0.1373    1.0000  1.076e+01
  0.1373    1.0500  1.117e+01
  0.1373    1.1000  1.162e+01
  0.1373    1.1500  1.215e+01
  0.1373    1.2000  1.274e+01
  0.1373    1.2500  1.338e+01
  0.1373    1.3000  1.412e+01
  0.1373    1.3500  1.504e+01
  0.1373    1.4000  1.617e+01
  0.1373    1.4500  1.757e+01
  0.1373    1.5000  1.950e+01
  0.1373    1.5500  2.236e+01
  0.1373    1.6000  2.750e+01
  0.1373    1.6500  4.968e+01
  0.1373    1.7000  1.369e+02
  0.1373    1.7500  5.863e+01
  0.1373    1.8000  3.905e+01
  0.1373    1.8500  4.493e+01
  0.1373    1.9000  5.898e+01
  0.1373    1.9500  9.215e+01
  0.1373    2.0000  1.100e+02
  0.1373    2.0500  8.549e+01
  0.1373    2.1000  1.226e+02
  0.1373    2.1500  1.636e+02
  0.1373    2.2000  1.027e+02
  0.1373    2.2500  6.472e+01
  0.1373    2.3000  4.368e+01
  0.1373    2.3500  3.221e+01
  0.1373    2.4000  2.539e+01
