# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/22 16:07:56
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.0594    2.5500  8.348e-01
  0.0594    2.6000  8.196e-01
  0.0594    2.6500  7.655e-01
  0.0594    2.7000  8.063e-01
  0.0594    2.7500  6.425e-01
  0.0594    2.8000  4.408e-01
  0.0594    2.8500  4.256e-01
  0.0594    2.9000  4.682e-01
  0.0594    2.9500  5.317e-01
  0.0594    3.0000  5.889e-01
  0.0594    3.0500  5.593e-01
  0.0594    3.1000  4.918e-01
  0.0594    3.1500  4.797e-01
  0.0594    3.2000  5.119e-01
  0.0594    3.2500  5.525e-01
  0.0594    3.3000  6.093e-01
  0.0594    3.3500  6.307e-01
  0.0594    3.4000  6.876e-01
  0.0594    3.4500  6.754e-01
  0.0594    3.5000  6.214e-01
  0.0594    3.5500  6.535e-01
  0.0594    3.6000  7.332e-01
  0.0594    3.6500  8.128e-01
  0.0594    3.7000  8.227e-01
  0.0594    3.7500  6.501e-01
  0.0594    3.8000  4.194e-01
  0.0594    3.8500  3.899e-01
  0.0594    3.9000  4.227e-01
  0.0594    3.9500  3.753e-01
  0.0594    4.0000  3.560e-01
  0.0594    4.0500  3.554e-01
  0.0594    4.1000  3.344e-01
  0.0594    4.1500  2.781e-01
  0.0594    4.2000  2.252e-01
  0.0594    4.2500  2.358e-01
  0.0594    4.3000  2.528e-01
  0.0594    4.3500  2.726e-01
  0.0594    4.4000  2.937e-01
  0.0594    4.4500  3.088e-01
  0.0594    4.5000  3.204e-01
  0.0594    4.5500  3.429e-01
  0.0594    4.6000  3.650e-01
  0.0594    4.6500  3.528e-01
  0.0594    4.7000  3.891e-01
  0.0594    4.7500  3.863e-01
  0.0594    4.8000  4.121e-01
  0.0594    4.8500  4.039e-01
  0.0594    4.9000  4.358e-01
  0.0594    4.9500  4.353e-01
  0.0594    5.0000  0.000e+00

  0.0693    0.0000  4.186e-01
  0.0693    0.0500  5.558e-01
  0.0693    0.1000  1.791e+00
  0.0693    0.1500  1.183e+01
  0.0693    0.2000  2.291e+02
  0.0693    0.2500  1.014e+01
  0.0693    0.3000  4.129e+00
  0.0693    0.3500  2.470e+00
  0.0693    0.4000  1.851e+00
  0.0693    0.4500  1.663e+00
  0.0693    0.5000  1.307e+00
  0.0693    0.5500  1.377e+00
  0.0693    0.6000  8.754e-01
  0.0693    0.6500  8.773e-01
  0.0693    0.7000  8.540e-01
  0.0693    0.7500  8.436e-01
  0.0693    0.8000  9.079e-01
  0.0693    0.8500  6.821e-01
  0.0693    0.9000  7.272e-01
  0.0693    0.9500  7.557e-01
  0.0693    1.0000  7.506e-01
  0.0693    1.0500  6.891e-01
  0.0693    1.1000  6.797e-01
  0.0693    1.1500  6.930e-01
  0.0693    1.2000  7.330e-01
  0.0693    1.2500  7.685e-01
  0.0693    1.3000  6.283e-01
  0.0693    1.3500  7.001e-01
  0.0693    1.4000  7.659e-01
  0.0693    1.4500  7.929e-01
  0.0693    1.5000  8.509e-01
  0.0693    1.5500  8.396e-01
  0.0693    1.6000  4.174e-01
  0.0693    1.6500  4.794e-01
  0.0693    1.7000  5.934e-01
  0.0693    1.7500  5.635e-01
  0.0693    1.8000  5.154e-01
  0.0693    1.8500  5.808e-01
  0.0693    1.9000  6.016e-01
  0.0693    1.9500  6.408e-01
  0.0693    2.0000  5.893e-01
  0.0693    2.0500  5.631e-01
  0.0693    2.1000  6.003e-01
  0.0693    2.1500  6.300e-01
  0.0693    2.2000  6.706e-01
  0.0693    2.2500  6.170e-01
  0.0693    2.3000  5.975e-01
  0.0693    2.3500  6.316e-01
  0.0693    2.4000  6.518e-01
